iter,train_loss,lr,ms_per_iter
0,4.5099,9.90e-06,507
10,3.4655,1.09e-04,221
20,3.0099,2.08e-04,233
30,2.7290,3.07e-04,231
40,2.5779,4.06e-04,229
50,2.5016,5.05e-04,238
60,2.4366,6.04e-04,236
70,2.4032,7.03e-04,226
80,2.4223,8.02e-04,228
90,2.3722,9.01e-04,240
100,2.3277,1.00e-03,575
110,2.3149,1.00e-03,230
120,2.2340,9.99e-04,229
130,2.1747,9.98e-04,230
140,2.1130,9.96e-04,236
150,2.0517,9.93e-04,236
160,1.9864,9.90e-04,228
170,1.8956,9.87e-04,227
180,1.7889,9.83e-04,231
190,1.7907,9.78e-04,233
200,1.7203,9.73e-04,621
210,1.6461,9.67e-04,232
220,1.6195,9.61e-04,226
230,1.5149,9.54e-04,231
240,1.4810,9.47e-04,225
250,1.4830,9.40e-04,6479
260,1.4459,9.32e-04,229
270,1.4017,9.23e-04,222
280,1.3990,9.14e-04,218
290,1.3830,9.05e-04,217
300,1.3332,8.95e-04,539
310,1.3113,8.84e-04,233
320,1.2845,8.74e-04,229
330,1.2415,8.63e-04,222
340,1.2801,8.51e-04,224
350,1.1765,8.39e-04,225
360,1.1791,8.27e-04,230
370,1.2157,8.15e-04,240
380,1.1834,8.02e-04,229
390,1.1728,7.88e-04,226
400,1.1620,7.75e-04,527
410,1.1091,7.61e-04,238
420,1.1001,7.47e-04,236
430,1.1088,7.33e-04,243
440,1.1274,7.19e-04,242
450,1.0851,7.04e-04,235
460,1.1127,6.89e-04,237
470,1.1003,6.74e-04,240
480,1.0136,6.59e-04,245
490,1.0459,6.44e-04,230
500,1.0441,6.28e-04,576
510,1.0259,6.13e-04,228
520,1.0453,5.97e-04,245
530,1.0422,5.81e-04,240
540,1.0228,5.66e-04,231
550,0.9636,5.50e-04,235
560,0.9669,5.34e-04,228
570,1.0145,5.19e-04,226
580,0.9790,5.03e-04,7076
590,0.9646,4.87e-04,726
600,1.0047,4.72e-04,872
610,0.9670,4.56e-04,225
620,0.9645,4.41e-04,231
630,0.9571,4.26e-04,232
640,0.9482,4.11e-04,232
650,0.9648,3.96e-04,237
660,0.9518,3.81e-04,241
670,0.9350,3.67e-04,246
680,0.9312,3.53e-04,236
690,0.9424,3.39e-04,239
700,0.8891,3.25e-04,585
710,0.9525,3.12e-04,259
720,0.9270,2.98e-04,242
730,0.8886,2.85e-04,248
740,0.8754,2.73e-04,251
750,0.8772,2.61e-04,286
760,0.8775,2.49e-04,280
770,0.8842,2.37e-04,267
780,0.8619,2.26e-04,279
790,0.9142,2.16e-04,252
800,0.8973,2.05e-04,628
810,0.8647,1.95e-04,258
820,0.8813,1.86e-04,240
830,0.9107,1.77e-04,243
840,0.8855,1.68e-04,257
850,0.8643,1.60e-04,242
860,0.8906,1.53e-04,244
870,0.8666,1.46e-04,248
880,0.8620,1.39e-04,6094
890,0.9096,1.33e-04,236
900,0.8976,1.27e-04,597
910,0.8640,1.22e-04,230
920,0.8607,1.17e-04,237
930,0.8524,1.13e-04,239
940,0.8802,1.10e-04,237
950,0.8989,1.07e-04,239
960,0.8426,1.04e-04,235
970,0.8560,1.02e-04,245
980,0.8956,1.01e-04,277
990,0.8355,1.00e-04,249
