iter,train_loss,lr,ms_per_iter
0,4.5278,9.90e-06,277
10,3.4273,1.09e-04,188
20,2.9662,2.08e-04,199
30,2.7057,3.07e-04,202
40,2.5402,4.06e-04,201
50,2.4478,5.05e-04,201
60,2.3824,6.04e-04,202
70,2.3364,7.03e-04,202
80,2.3057,8.02e-04,200
90,2.2389,9.01e-04,201
100,2.1407,1.00e-03,460
110,2.0606,1.00e-03,201
120,1.9863,9.99e-04,202
130,1.8964,9.98e-04,205
140,1.8254,9.96e-04,214
150,1.7397,9.93e-04,219
160,1.6854,9.90e-04,223
170,1.6633,9.87e-04,220
180,1.5785,9.83e-04,225
190,1.5437,9.78e-04,214
200,1.4870,9.73e-04,475
210,1.4646,9.67e-04,208
220,1.4217,9.61e-04,209
230,1.3863,9.54e-04,209
240,1.3659,9.47e-04,211
250,1.3079,9.40e-04,209
260,1.3078,9.32e-04,208
270,1.2779,9.23e-04,208
280,1.2603,9.14e-04,210
290,1.2908,9.05e-04,209
300,1.2271,8.95e-04,470
310,1.2139,8.84e-04,207
320,1.2260,8.74e-04,208
330,1.1823,8.63e-04,208
340,1.1846,8.51e-04,208
350,1.1563,8.39e-04,216
360,1.1447,8.27e-04,209
370,1.2010,8.15e-04,212
380,1.1568,8.02e-04,218
390,1.1280,7.88e-04,225
400,1.1221,7.75e-04,529
410,1.1218,7.61e-04,227
420,1.1002,7.47e-04,216
430,1.0846,7.33e-04,205
440,1.0503,7.19e-04,215
450,1.0724,7.04e-04,229
460,1.0574,6.89e-04,221
470,1.0428,6.74e-04,221
480,1.0519,6.59e-04,217
490,1.0766,6.44e-04,217
500,1.0080,6.28e-04,478
510,1.0164,6.13e-04,206
520,1.0215,5.97e-04,205
530,1.0101,5.81e-04,207
540,1.0277,5.66e-04,206
550,1.0361,5.50e-04,206
560,0.9987,5.34e-04,206
570,0.9800,5.19e-04,206
580,0.9737,5.03e-04,206
590,1.0035,4.87e-04,207
600,1.0051,4.72e-04,469
610,0.9457,4.56e-04,214
620,0.9950,4.41e-04,211
630,0.9777,4.26e-04,206
640,0.9557,4.11e-04,206
650,0.9570,3.96e-04,207
660,0.9427,3.81e-04,206
670,0.9461,3.67e-04,204
680,0.9204,3.53e-04,205
690,0.9678,3.39e-04,204
700,0.9118,3.25e-04,465
710,0.9354,3.12e-04,206
720,0.9019,2.98e-04,204
730,0.9525,2.85e-04,202
740,0.9295,2.73e-04,202
750,0.9310,2.61e-04,202
760,0.9436,2.49e-04,202
770,0.9118,2.37e-04,202
780,0.9155,2.26e-04,201
790,0.9271,2.16e-04,201
800,0.9430,2.05e-04,457
810,0.8971,1.95e-04,201
820,0.8927,1.86e-04,201
830,0.9139,1.77e-04,201
840,0.9355,1.68e-04,201
850,0.8876,1.60e-04,200
860,0.8825,1.53e-04,200
870,0.8808,1.46e-04,202
880,0.8807,1.39e-04,208
890,0.8998,1.33e-04,205
900,0.8940,1.27e-04,456
910,0.8769,1.22e-04,201
920,0.8929,1.17e-04,201
930,0.8697,1.13e-04,200
940,0.8813,1.10e-04,200
950,0.8875,1.07e-04,200
960,0.8989,1.04e-04,200
970,0.8972,1.02e-04,200
980,0.8778,1.01e-04,200
990,0.8922,1.00e-04,200
