iter,train_loss,lr,ms_per_iter
0,4.4609,2.97e-06,521
10,3.6677,3.27e-05,264
20,3.3589,6.24e-05,304
30,3.0469,9.21e-05,301
40,2.8776,1.22e-04,291
50,2.7270,1.51e-04,304
60,2.6079,1.81e-04,318
70,2.5423,2.11e-04,295
80,2.5072,2.41e-04,306
90,2.4796,2.70e-04,298
100,2.4668,3.00e-04,731
110,2.4700,3.00e-04,272
120,2.4440,3.00e-04,259
130,2.4422,2.99e-04,258
140,2.4445,2.99e-04,261
150,2.4047,2.98e-04,266
160,2.3924,2.97e-04,260
170,2.4003,2.96e-04,265
180,2.3775,2.95e-04,268
190,2.3762,2.93e-04,276
200,2.3632,2.92e-04,707
210,2.3580,2.90e-04,292
220,2.3198,2.88e-04,290
230,2.3106,2.86e-04,269
240,2.3005,2.84e-04,261
250,2.2671,2.82e-04,258
260,2.2657,2.79e-04,271
270,2.2199,2.77e-04,284
280,2.1733,2.74e-04,288
290,2.1595,2.71e-04,305
300,2.1323,2.68e-04,747
310,2.0983,2.65e-04,304
320,2.0698,2.62e-04,278
330,2.0117,2.59e-04,282
340,1.9951,2.55e-04,292
350,1.9780,2.52e-04,291
360,1.9487,2.48e-04,280
370,1.8915,2.44e-04,273
380,1.8755,2.40e-04,270
390,1.8805,2.37e-04,283
400,1.8096,2.32e-04,629
410,1.7556,2.28e-04,271
420,1.7330,2.24e-04,278
430,1.7536,2.20e-04,284
440,1.6920,2.16e-04,291
450,1.7122,2.11e-04,278
460,1.6794,2.07e-04,283
470,1.6527,2.02e-04,309
480,1.6472,1.98e-04,313
490,1.6406,1.93e-04,275
500,1.5886,1.88e-04,612
510,1.5753,1.84e-04,259
520,1.5375,1.79e-04,261
530,1.5295,1.74e-04,276
540,1.4643,1.70e-04,280
550,1.4910,1.65e-04,266
560,1.4126,1.60e-04,280
570,1.4450,1.56e-04,288
580,1.4198,1.51e-04,289
590,1.4446,1.46e-04,280
600,1.3620,1.42e-04,661
610,1.3648,1.37e-04,296
620,1.3712,1.32e-04,327
630,1.3290,1.28e-04,337
640,1.3656,1.23e-04,367
650,1.3320,1.19e-04,286
660,1.3077,1.14e-04,269
670,1.3222,1.10e-04,283
680,1.3429,1.06e-04,276
690,1.3290,1.02e-04,277
700,1.3035,9.75e-05,680
710,1.3015,9.35e-05,275
720,1.3207,8.95e-05,282
730,1.3173,8.56e-05,269
740,1.3015,8.19e-05,282
750,1.2934,7.82e-05,312
760,1.2837,7.47e-05,301
770,1.2242,7.12e-05,259
780,1.2336,6.79e-05,257
790,1.2507,6.47e-05,270
800,1.1990,6.16e-05,641
810,1.2303,5.86e-05,273
820,1.2411,5.58e-05,276
830,1.2606,5.31e-05,265
840,1.2252,5.05e-05,272
850,1.2070,4.81e-05,275
860,1.2554,4.58e-05,260
870,1.2565,4.37e-05,260
880,1.2258,4.17e-05,258
890,1.1580,3.98e-05,259
900,1.2199,3.81e-05,612
910,1.2136,3.66e-05,259
920,1.1861,3.52e-05,274
930,1.2109,3.40e-05,292
940,1.2280,3.30e-05,287
950,1.1749,3.21e-05,331
960,1.1836,3.13e-05,322
970,1.1867,3.07e-05,268
980,1.2164,3.03e-05,257
990,1.1991,3.01e-05,256
