iter,train_loss,lr,ms_per_iter
0,4.4609,9.90e-06,415
10,3.4027,1.09e-04,281
20,2.9915,2.08e-04,287
30,2.7053,3.07e-04,285
40,2.5838,4.06e-04,281
50,2.5058,5.05e-04,284
60,2.4598,6.04e-04,283
70,2.4411,7.03e-04,282
80,2.4310,8.02e-04,285
90,2.4174,9.01e-04,283
100,2.4168,1.00e-03,666
110,2.4277,1.00e-03,282
120,2.3977,9.99e-04,271
130,2.4024,9.98e-04,255
140,2.3974,9.96e-04,253
150,2.3492,9.93e-04,253
160,2.3168,9.90e-04,253
170,2.3339,9.87e-04,253
180,2.2699,9.83e-04,252
190,2.1956,9.78e-04,254
200,2.1282,9.73e-04,594
210,2.1445,9.67e-04,253
220,2.0308,9.61e-04,254
230,2.0083,9.54e-04,270
240,2.0228,9.47e-04,324
250,1.8951,9.40e-04,322
260,1.8728,9.32e-04,327
270,1.8326,9.23e-04,323
280,1.7787,9.14e-04,325
290,1.7333,9.05e-04,310
300,1.6797,8.95e-04,714
310,1.6283,8.84e-04,307
320,1.6096,8.74e-04,311
330,1.5060,8.63e-04,298
340,1.4651,8.51e-04,280
350,1.4464,8.39e-04,286
360,1.4216,8.27e-04,302
370,1.3485,8.15e-04,309
380,1.3732,8.02e-04,306
390,1.3747,7.88e-04,309
400,1.2910,7.75e-04,732
410,1.2764,7.61e-04,305
420,1.2437,7.47e-04,306
430,1.2671,7.33e-04,307
440,1.2273,7.19e-04,310
450,1.2402,7.04e-04,311
460,1.2165,6.89e-04,307
470,1.2108,6.74e-04,314
480,1.1886,6.59e-04,309
490,1.2170,6.44e-04,306
500,1.1622,6.28e-04,777
510,1.1455,6.13e-04,345
520,1.1411,5.97e-04,340
530,1.1318,5.81e-04,334
540,1.0849,5.66e-04,327
550,1.1076,5.50e-04,331
560,1.0345,5.34e-04,336
570,1.0645,5.19e-04,327
580,1.0457,5.03e-04,318
590,1.0888,4.87e-04,388
600,1.0083,4.72e-04,807
610,1.0190,4.56e-04,307
620,1.0172,4.41e-04,317
630,0.9718,4.26e-04,309
640,1.0113,4.11e-04,307
650,0.9829,3.96e-04,307
660,0.9711,3.81e-04,308
670,0.9896,3.67e-04,303
680,1.0027,3.53e-04,281
690,0.9976,3.39e-04,280
700,0.9729,3.25e-04,658
710,0.9798,3.12e-04,282
720,0.9841,2.98e-04,281
730,0.9682,2.85e-04,280
740,0.9711,2.73e-04,280
750,0.9619,2.61e-04,280
760,0.9622,2.49e-04,292
770,0.9214,2.37e-04,299
780,0.9197,2.26e-04,286
790,0.9403,2.16e-04,285
800,0.8989,2.05e-04,660
810,0.9272,1.95e-04,291
820,0.9441,1.86e-04,290
830,0.9274,1.77e-04,290
840,0.9313,1.68e-04,291
850,0.8997,1.60e-04,304
860,0.9323,1.53e-04,293
870,0.9305,1.46e-04,289
880,0.9169,1.39e-04,320
890,0.8524,1.33e-04,331
900,0.9011,1.27e-04,680
910,0.8895,1.22e-04,336
920,0.8808,1.17e-04,305
930,0.8982,1.13e-04,337
940,0.9302,1.10e-04,324
950,0.8793,1.07e-04,328
960,0.8843,1.04e-04,338
970,0.8989,1.02e-04,331
980,0.8937,1.01e-04,328
990,0.8706,1.00e-04,325
