iter,train_loss,lr,ms_per_iter
0,4.4791,9.90e-06,158
10,4.0368,1.09e-04,59
20,3.7181,2.08e-04,60
30,3.4001,3.07e-04,59
40,3.0593,4.06e-04,57
50,2.8307,5.05e-04,66
60,2.6870,6.04e-04,63
70,2.5987,7.03e-04,74
80,2.5585,8.02e-04,70
90,2.5036,9.01e-04,69
100,2.4882,1.00e-03,163
110,2.4665,1.00e-03,63
120,2.4423,9.99e-04,76
130,2.4392,9.98e-04,81
140,2.4515,9.96e-04,60
150,2.4405,9.93e-04,58
160,2.4195,9.90e-04,66
170,2.4277,9.87e-04,64
180,2.4238,9.83e-04,64
190,2.4088,9.78e-04,63
200,2.4137,9.73e-04,165
210,2.4006,9.67e-04,63
220,2.3896,9.61e-04,62
230,2.3594,9.54e-04,62
240,2.3603,9.47e-04,72
250,2.3528,9.40e-04,70
260,2.3600,9.32e-04,65
270,2.3374,9.23e-04,64
280,2.2870,9.14e-04,61
290,2.2964,9.05e-04,65
300,2.2534,8.95e-04,162
310,2.3168,8.84e-04,72
320,2.2313,8.74e-04,62
330,2.2273,8.63e-04,71
340,2.2232,8.51e-04,66
350,2.1996,8.39e-04,63
360,2.1370,8.27e-04,62
370,2.1437,8.15e-04,64
380,2.1212,8.02e-04,64
390,2.0986,7.88e-04,72
400,2.0476,7.75e-04,164
410,2.0412,7.61e-04,71
420,2.0245,7.47e-04,65
430,2.0259,7.33e-04,71
440,2.0078,7.19e-04,61
450,2.0049,7.04e-04,68
460,1.9535,6.89e-04,66
470,1.9564,6.74e-04,82
480,1.9399,6.59e-04,83
490,1.9789,6.44e-04,68
500,1.9153,6.28e-04,158
510,1.8708,6.13e-04,59
520,1.8583,5.97e-04,59
530,1.8453,5.81e-04,58
540,1.8510,5.66e-04,69
550,1.8092,5.50e-04,73
560,1.7806,5.34e-04,66
570,1.7740,5.19e-04,60
580,1.7480,5.03e-04,61
590,1.7262,4.87e-04,61
600,1.7224,4.72e-04,172
610,1.7089,4.56e-04,73
620,1.6761,4.41e-04,79
630,1.6248,4.26e-04,71
640,1.6712,4.11e-04,61
650,1.6365,3.96e-04,61
660,1.6425,3.81e-04,66
670,1.6034,3.67e-04,63
680,1.6093,3.53e-04,71
690,1.6087,3.39e-04,66
700,1.5961,3.25e-04,149
710,1.5643,3.12e-04,58
720,1.5743,2.98e-04,58
730,1.5655,2.85e-04,58
740,1.5317,2.73e-04,73
750,1.5094,2.61e-04,66
760,1.5216,2.49e-04,63
770,1.4974,2.37e-04,62
780,1.5279,2.26e-04,65
790,1.4726,2.16e-04,72
800,1.4945,2.05e-04,190
810,1.5002,1.95e-04,64
820,1.5159,1.86e-04,61
830,1.4773,1.77e-04,64
840,1.4879,1.68e-04,64
850,1.4764,1.60e-04,60
860,1.4840,1.53e-04,63
870,1.4261,1.46e-04,58
880,1.4377,1.39e-04,60
890,1.4749,1.33e-04,58
900,1.4266,1.27e-04,169
910,1.4483,1.22e-04,62
920,1.4406,1.17e-04,64
930,1.4458,1.13e-04,64
940,1.4365,1.10e-04,68
950,1.5225,1.07e-04,66
960,1.4187,1.04e-04,65
970,1.4652,1.02e-04,75
980,1.4091,1.01e-04,71
990,1.3924,1.00e-04,69
