iter,train_loss,lr,ms_per_iter
0,4.4609,2.97e-05,362
10,3.1558,3.27e-04,241
20,2.7106,6.24e-04,257
30,2.5199,9.21e-04,258
40,2.4870,1.22e-03,255
50,2.4601,1.51e-03,256
60,2.4481,1.81e-03,256
70,2.4296,2.11e-03,257
80,2.4148,2.41e-03,260
90,2.4208,2.70e-03,258
100,2.4310,3.00e-03,597
110,2.4340,3.00e-03,258
120,2.3881,3.00e-03,257
130,2.3704,2.99e-03,256
140,2.3103,2.99e-03,263
150,2.2300,2.98e-03,258
160,2.0839,2.97e-03,258
170,2.0039,2.96e-03,264
180,1.8802,2.95e-03,267
190,1.7382,2.93e-03,257
200,1.6750,2.92e-03,614
210,1.5814,2.90e-03,261
220,1.5296,2.88e-03,263
230,1.4447,2.86e-03,257
240,1.4085,2.84e-03,257
250,1.3414,2.82e-03,257
260,1.3656,2.79e-03,257
270,1.2971,2.77e-03,257
280,1.2604,2.74e-03,258
290,1.2777,2.71e-03,259
300,1.2531,2.68e-03,611
310,1.2688,2.65e-03,266
320,1.2680,2.62e-03,259
330,1.1586,2.59e-03,260
340,1.1625,2.55e-03,257
350,1.1397,2.52e-03,257
360,1.1552,2.48e-03,256
370,1.1220,2.44e-03,260
380,1.1379,2.40e-03,256
390,1.1715,2.37e-03,256
400,1.0856,2.32e-03,604
410,1.1098,2.28e-03,258
420,1.0762,2.24e-03,259
430,1.1205,2.20e-03,259
440,1.0680,2.16e-03,267
450,1.0975,2.11e-03,258
460,1.0954,2.07e-03,255
470,1.0744,2.02e-03,258
480,1.0789,1.98e-03,253
490,1.0922,1.93e-03,259
500,1.0642,1.88e-03,603
510,1.0292,1.84e-03,258
520,1.0452,1.79e-03,259
530,1.0339,1.74e-03,255
540,1.0291,1.70e-03,263
550,1.0185,1.65e-03,262
560,0.9606,1.60e-03,263
570,0.9948,1.56e-03,263
580,0.9848,1.51e-03,256
590,1.0177,1.46e-03,256
600,0.9471,1.42e-03,595
610,0.9506,1.37e-03,263
620,0.9526,1.32e-03,267
630,0.9284,1.28e-03,258
640,0.9602,1.23e-03,257
650,0.9237,1.19e-03,255
660,0.9161,1.14e-03,255
670,0.9382,1.10e-03,256
680,0.9510,1.06e-03,255
690,0.9429,1.02e-03,257
700,0.9286,9.75e-04,612
710,0.9374,9.35e-04,257
720,0.9455,8.95e-04,258
730,0.9130,8.56e-04,257
740,0.9184,8.19e-04,258
750,0.9261,7.82e-04,270
760,0.9094,7.47e-04,255
770,0.8818,7.12e-04,256
780,0.8762,6.79e-04,256
790,0.8932,6.47e-04,265
800,0.8639,6.16e-04,613
810,0.8780,5.86e-04,258
820,0.9023,5.58e-04,265
830,0.8731,5.31e-04,269
840,0.8885,5.05e-04,262
850,0.8566,4.81e-04,270
860,0.8798,4.58e-04,265
870,0.8764,4.37e-04,266
880,0.8591,4.17e-04,270
890,0.8082,3.98e-04,267
900,0.8553,3.81e-04,620
910,0.8356,3.66e-04,257
920,0.8384,3.52e-04,256
930,0.8422,3.40e-04,345
940,0.8748,3.30e-04,259
950,0.8277,3.21e-04,310
960,0.8401,3.13e-04,258
970,0.8483,3.07e-04,256
980,0.8393,3.03e-04,255
990,0.8149,3.01e-04,253
