iter,train_loss,lr,ms_per_iter
0,4.5425,9.90e-06,380
10,3.4305,1.09e-04,210
20,2.9692,2.08e-04,242
30,2.7081,3.07e-04,230
40,2.5378,4.06e-04,224
50,2.4633,5.05e-04,219
60,2.4075,6.04e-04,224
70,2.3853,7.03e-04,226
80,2.3292,8.02e-04,220
90,2.2437,9.01e-04,226
100,2.1871,1.00e-03,513
110,2.1099,1.00e-03,222
120,1.9950,9.99e-04,226
130,1.9263,9.98e-04,226
140,1.8569,9.96e-04,216
150,1.7932,9.93e-04,224
160,1.7001,9.90e-04,230
170,1.6388,9.87e-04,222
180,1.5941,9.83e-04,232
190,1.5725,9.78e-04,216
200,1.4979,9.73e-04,533
210,1.4372,9.67e-04,225
220,1.4055,9.61e-04,216
230,1.3806,9.54e-04,227
240,1.3400,9.47e-04,226
250,1.3370,9.40e-04,222
260,1.2991,9.32e-04,226
270,1.2476,9.23e-04,216
280,1.2302,9.14e-04,228
290,1.2178,9.05e-04,226
300,1.2215,8.95e-04,512
310,1.2264,8.84e-04,229
320,1.2070,8.74e-04,221
330,1.2201,8.63e-04,226
340,1.1517,8.51e-04,232
350,1.1433,8.39e-04,227
360,1.1410,8.27e-04,228
370,1.1271,8.15e-04,217
380,1.1208,8.02e-04,228
390,1.1328,7.88e-04,222
400,1.1115,7.75e-04,507
410,1.1141,7.61e-04,227
420,1.1029,7.47e-04,217
430,1.0601,7.33e-04,226
440,1.0869,7.19e-04,226
450,1.0845,7.04e-04,217
460,1.0614,6.89e-04,229
470,1.0620,6.74e-04,220
480,1.0138,6.59e-04,224
490,1.0419,6.44e-04,229
500,1.0203,6.28e-04,539
510,1.0115,6.13e-04,216
520,1.0159,5.97e-04,223
530,1.0236,5.81e-04,228
540,0.9948,5.66e-04,226
550,0.9770,5.50e-04,230
560,1.0212,5.34e-04,221
570,0.9936,5.19e-04,229
580,0.9710,5.03e-04,224
590,0.9925,4.87e-04,222
600,0.9751,4.72e-04,508
610,0.9793,4.56e-04,221
620,0.9564,4.41e-04,227
630,0.9856,4.26e-04,220
640,0.9534,4.11e-04,222
650,0.9638,3.96e-04,223
660,0.9287,3.81e-04,228
670,0.9424,3.67e-04,217
680,0.9387,3.53e-04,228
690,0.9622,3.39e-04,219
700,0.9323,3.25e-04,518
710,0.9221,3.12e-04,219
720,0.9419,2.98e-04,222
730,0.9431,2.85e-04,226
740,0.9292,2.73e-04,216
750,0.9234,2.61e-04,229
760,0.8972,2.49e-04,223
770,0.9263,2.37e-04,230
780,0.9010,2.26e-04,228
790,0.9053,2.16e-04,222
800,0.8915,2.05e-04,529
810,0.9071,1.95e-04,221
820,0.8957,1.86e-04,229
830,0.8938,1.77e-04,223
840,0.9128,1.68e-04,229
850,0.8989,1.60e-04,224
860,0.8899,1.53e-04,224
870,0.8925,1.46e-04,229
880,0.8707,1.39e-04,226
890,0.9063,1.33e-04,230
900,0.8871,1.27e-04,526
910,0.8933,1.22e-04,248
920,0.8764,1.17e-04,210
930,0.8927,1.13e-04,233
940,0.9030,1.10e-04,226
950,0.8707,1.07e-04,233
960,0.8997,1.04e-04,224
970,0.8783,1.02e-04,229
980,0.9073,1.01e-04,219
990,0.8861,1.00e-04,230
