iter,train_loss,lr,ms_per_iter
0,4.4692,9.90e-06,882
10,3.3827,1.09e-04,344
20,2.9510,2.08e-04,370
30,2.7039,3.07e-04,366
40,2.5599,4.06e-04,350
50,2.5095,5.05e-04,349
60,2.4872,6.04e-04,359
70,2.4484,7.03e-04,369
80,2.4734,8.02e-04,368
90,2.4295,9.01e-04,359
100,2.4580,1.00e-03,1018
110,2.4402,1.00e-03,387
120,2.4160,9.99e-04,384
130,2.4326,9.98e-04,390
140,2.4377,9.96e-04,378
150,2.3947,9.93e-04,362
160,2.3851,9.90e-04,374
170,2.4056,9.87e-04,371
180,2.4049,9.83e-04,372
190,2.3847,9.78e-04,361
200,2.3927,9.73e-04,958
210,2.3884,9.67e-04,372
220,2.3789,9.61e-04,350
230,2.3711,9.54e-04,8441
240,2.3372,9.47e-04,337
250,2.3258,9.40e-04,336
260,2.2838,9.32e-04,337
270,2.2730,9.23e-04,341
280,2.2208,9.14e-04,341
290,2.2230,9.05e-04,369
300,2.1679,8.95e-04,953
310,2.1967,8.84e-04,361
320,2.1517,8.74e-04,356
330,2.1179,8.63e-04,363
340,1.9930,8.51e-04,362
350,1.9457,8.39e-04,367
360,2.0341,8.27e-04,370
370,1.9440,8.15e-04,367
380,1.8658,8.02e-04,367
390,1.8367,7.88e-04,383
400,1.7576,7.75e-04,1014
410,1.6837,7.61e-04,405
420,1.6706,7.47e-04,469
430,1.6412,7.33e-04,402
440,1.6286,7.19e-04,394
450,1.5639,7.04e-04,400
460,1.5128,6.89e-04,368
470,1.5038,6.74e-04,420
480,1.4321,6.59e-04,373
490,1.4192,6.44e-04,377
500,1.4251,6.28e-04,1087
510,1.3809,6.13e-04,365
520,1.3348,5.97e-04,379
530,1.3149,5.81e-04,399
540,1.3099,5.66e-04,384
550,1.3255,5.50e-04,389
560,1.2803,5.34e-04,405
570,1.2923,5.19e-04,417
580,1.2164,5.03e-04,400
590,1.2360,4.87e-04,388
600,1.2245,4.72e-04,1128
610,1.3124,4.56e-04,333
620,1.1913,4.41e-04,365
630,1.1620,4.26e-04,375
640,1.1998,4.11e-04,392
650,1.1554,3.96e-04,420
660,1.1471,3.81e-04,8688
670,1.1465,3.67e-04,361
680,1.1037,3.53e-04,353
690,1.1547,3.39e-04,401
700,1.1095,3.25e-04,939
710,1.1025,3.12e-04,356
720,1.1112,2.98e-04,365
730,1.0885,2.85e-04,355
740,1.1292,2.73e-04,385
750,1.0902,2.61e-04,375
760,1.0698,2.49e-04,408
770,1.0475,2.37e-04,609
780,1.0583,2.26e-04,368
790,1.0962,2.16e-04,368
800,1.0393,2.05e-04,1030
810,1.0856,1.95e-04,11954
820,1.1087,1.86e-04,444
830,1.0374,1.77e-04,449
840,1.0630,1.68e-04,444
850,1.0513,1.60e-04,440
860,1.0315,1.53e-04,461
870,1.0835,1.46e-04,471
880,1.0496,1.39e-04,453
890,1.0139,1.33e-04,499
900,0.9878,1.27e-04,1717
910,0.9943,1.22e-04,484
920,1.4901,1.17e-04,25590
930,1.0195,1.13e-04,148705
940,0.9995,1.10e-04,739
950,1.0384,1.07e-04,676
960,0.9658,1.04e-04,698
970,0.9788,1.02e-04,689
980,0.9982,1.01e-04,674
990,1.0266,1.00e-04,693
