step,train_loss,lr,s_per_step,tokens_seen
151,2.3659,1.23e-04,52.4,622592
152,2.0564,1.22e-04,53.3,626688
153,2.1387,1.21e-04,53.7,630784
154,2.1865,1.20e-04,54.5,634880
155,2.2600,1.19e-04,59.2,638976
156,2.3901,1.18e-04,53.4,643072
157,2.3032,1.17e-04,56.8,647168
158,2.3666,1.16e-04,55.9,651264
159,2.4635,1.15e-04,73.7,655360
160,2.4619,1.15e-04,77.4,659456
161,2.1835,1.14e-04,79.7,663552
162,2.2749,1.13e-04,82.3,667648
163,2.2863,1.12e-04,82.6,671744
164,2.2316,1.11e-04,111.8,675840
165,2.1277,1.10e-04,113.5,679936
166,2.4187,1.09e-04,114.9,684032
167,2.3583,1.08e-04,96.6,688128
168,2.0389,1.07e-04,86.8,692224
169,2.3194,1.06e-04,83.1,696320
170,2.0366,1.05e-04,81.8,700416
171,2.3752,1.05e-04,91.2,704512
172,2.2848,1.04e-04,83.1,708608
173,2.2322,1.03e-04,77.8,712704
174,2.4200,1.02e-04,61.2,716800
175,2.2630,1.01e-04,49.7,720896
176,2.1574,1.00e-04,28.0,724992
177,2.4163,9.91e-05,28.5,729088
178,2.3134,9.82e-05,28.6,733184
179,2.1337,9.73e-05,29.3,737280
180,2.4285,9.64e-05,29.7,741376
181,2.0534,9.55e-05,30.0,745472
182,2.5074,9.46e-05,29.8,749568
183,2.2993,9.37e-05,29.3,753664
184,1.9714,9.28e-05,30.2,757760
185,2.2726,9.19e-05,32.7,761856
186,2.5926,9.10e-05,32.6,765952
187,2.3661,9.01e-05,33.6,770048
188,2.0882,8.92e-05,32.2,774144
189,2.1033,8.83e-05,31.3,778240
190,2.2860,8.74e-05,30.4,782336
191,2.2342,8.66e-05,30.4,786432
192,2.1422,8.57e-05,30.1,790528
193,2.2984,8.48e-05,30.7,794624
194,2.2442,8.39e-05,29.3,798720
195,2.2271,8.31e-05,29.1,802816
196,2.3022,8.22e-05,28.7,806912
197,2.1510,8.13e-05,27.9,811008
198,2.1260,8.05e-05,28.7,815104
199,2.5025,7.96e-05,28.0,819200
200,2.3200,7.87e-05,30.2,823296
201,1.6743,7.79e-05,30.2,827392
202,2.2393,7.70e-05,27.5,831488
203,1.9945,7.62e-05,27.7,835584
204,2.3778,7.53e-05,27.4,839680
205,2.1337,7.45e-05,27.5,843776
206,2.1934,7.37e-05,27.6,847872
207,2.4107,7.28e-05,29.1,851968
208,1.9279,7.20e-05,28.7,856064
209,2.2046,7.12e-05,27.6,860160
210,1.7806,7.04e-05,29.0,864256
211,2.2747,6.95e-05,30.4,868352
212,2.2962,6.87e-05,28.5,872448
213,2.3014,6.79e-05,28.2,876544
214,1.6763,6.71e-05,28.1,880640
215,2.2259,6.63e-05,27.3,884736
216,2.1458,6.55e-05,29.1,888832
217,2.3498,6.47e-05,28.1,892928
218,2.2097,6.40e-05,28.6,897024
219,2.0408,6.32e-05,28.2,901120
220,1.6078,6.24e-05,29.9,905216
221,2.2510,6.16e-05,29.5,909312
222,2.2893,6.09e-05,30.4,913408
223,2.2996,6.01e-05,29.4,917504
224,2.2800,5.93e-05,28.8,921600
225,2.4046,5.86e-05,30.5,925696
226,2.2292,5.78e-05,29.3,929792
227,2.3416,5.71e-05,29.6,933888
228,2.0000,5.64e-05,29.0,937984
229,2.3293,5.56e-05,29.9,942080
230,2.1832,5.49e-05,29.0,946176
231,2.2113,5.42e-05,30.2,950272
232,2.2869,5.35e-05,30.2,954368
233,2.3532,5.28e-05,29.5,958464
234,2.1649,5.21e-05,29.6,962560
235,2.0145,5.14e-05,28.4,966656
236,2.5056,5.07e-05,31.0,970752
237,2.4372,5.00e-05,29.8,974848
238,2.3300,4.93e-05,29.6,978944
239,2.2606,4.87e-05,30.6,983040
240,1.9447,4.80e-05,29.8,987136
241,2.1086,4.73e-05,31.9,991232
242,2.0315,4.67e-05,29.5,995328
243,2.1658,4.60e-05,27.9,999424
244,2.0507,4.54e-05,31.2,1003520
245,2.2953,4.48e-05,30.9,1007616
246,1.8459,4.41e-05,29.3,1011712
247,2.1393,4.35e-05,29.8,1015808
248,2.4173,4.29e-05,30.3,1019904
249,2.0228,4.23e-05,28.9,1024000
250,1.8920,4.17e-05,30.5,1028096
251,2.4021,4.11e-05,30.1,1032192
252,2.2598,4.05e-05,30.7,1036288
253,2.0704,4.00e-05,30.0,1040384
254,2.1278,3.94e-05,29.4,1044480
255,1.9315,3.88e-05,29.8,1048576
256,2.0353,3.83e-05,29.6,1052672
257,1.9592,3.77e-05,28.5,1056768
258,2.3090,3.72e-05,28.5,1060864
259,2.3355,3.67e-05,28.6,1064960
260,2.1197,3.61e-05,28.8,1069056
261,1.9538,3.56e-05,29.9,1073152
262,2.1165,3.51e-05,28.2,1077248
263,2.3164,3.46e-05,28.7,1081344
264,2.0700,3.41e-05,28.5,1085440
265,1.8994,3.36e-05,29.9,1089536
266,2.3494,3.31e-05,30.9,1093632
267,2.3553,3.27e-05,29.8,1097728
268,2.1611,3.22e-05,29.7,1101824
269,2.4491,3.18e-05,29.4,1105920
270,2.1147,3.13e-05,28.3,1110016
271,2.1460,3.09e-05,28.2,1114112
272,2.1131,3.04e-05,28.6,1118208
273,2.2356,3.00e-05,27.7,1122304
274,2.1968,2.96e-05,28.5,1126400
275,2.2777,2.92e-05,28.8,1130496
276,2.3824,2.88e-05,27.7,1134592
277,2.1781,2.84e-05,28.6,1138688
