iter,train_loss,lr,ms_per_iter
0,4.5604,9.90e-06,825
10,3.4026,1.09e-04,491
20,2.9877,2.08e-04,525
30,2.7182,3.07e-04,520
40,2.5964,4.06e-04,511
50,2.5380,5.05e-04,534
60,2.4496,6.04e-04,531
70,2.4566,7.03e-04,534
80,2.4799,8.02e-04,497
90,2.4422,9.01e-04,532
100,2.4624,1.00e-03,1382
110,2.4619,1.00e-03,524
120,2.4311,9.99e-04,530
130,2.4388,9.98e-04,514
140,2.4423,9.96e-04,522
150,2.4498,9.93e-04,537
160,2.4094,9.90e-04,524
170,2.4324,9.87e-04,548
180,2.3914,9.83e-04,547
190,2.4094,9.78e-04,623
200,2.4009,9.73e-04,1477
210,2.4321,9.67e-04,547
220,2.3973,9.61e-04,538
230,2.4212,9.54e-04,554
240,2.4097,9.47e-04,526
250,2.3987,9.40e-04,535
260,2.3930,9.32e-04,524
270,2.4105,9.23e-04,541
280,2.3847,9.14e-04,521
290,2.3822,9.05e-04,530
300,2.4053,8.95e-04,1349
310,2.4063,8.84e-04,507
320,2.3859,8.74e-04,523
330,2.3910,8.63e-04,536
340,2.3754,8.51e-04,520
350,2.3864,8.39e-04,510
360,2.3709,8.27e-04,545
370,2.3830,8.15e-04,608
380,2.4199,8.02e-04,638
390,2.3745,7.88e-04,578
400,2.3660,7.75e-04,1602
410,2.3401,7.61e-04,576
420,2.3735,7.47e-04,559
430,2.3413,7.33e-04,535
440,2.3543,7.19e-04,538
450,2.3420,7.04e-04,532
460,2.3446,6.89e-04,527
470,2.3118,6.74e-04,541
480,2.2561,6.59e-04,540
490,2.2668,6.44e-04,537
500,2.2639,6.28e-04,1378
510,2.2496,6.13e-04,505
520,2.1926,5.97e-04,538
530,2.1525,5.81e-04,524
540,2.1611,5.66e-04,550
550,2.1134,5.50e-04,514
560,2.0822,5.34e-04,532
570,2.0302,5.19e-04,531
580,1.9941,5.03e-04,541
590,1.9325,4.87e-04,539
600,1.9245,4.72e-04,1530
610,1.9155,4.56e-04,571
620,1.8502,4.41e-04,537
630,1.8785,4.26e-04,604
640,1.8511,4.11e-04,560
650,1.7835,3.96e-04,528
660,1.7530,3.81e-04,655
670,1.7090,3.67e-04,588
680,1.6756,3.53e-04,600
690,1.6028,3.39e-04,563
700,1.6976,3.25e-04,1548
710,1.5808,3.12e-04,591
720,1.6245,2.98e-04,555
730,1.5194,2.85e-04,594
740,1.6110,2.73e-04,543
750,1.5065,2.61e-04,540
760,1.5573,2.49e-04,603
770,1.4555,2.37e-04,603
780,1.4515,2.26e-04,542
790,1.4308,2.16e-04,563
800,1.4215,2.05e-04,1492
810,1.3937,1.95e-04,539
820,1.4218,1.86e-04,566
830,1.3426,1.77e-04,573
840,1.4318,1.68e-04,534
850,1.3226,1.60e-04,568
860,1.3436,1.53e-04,565
870,1.3371,1.46e-04,619
880,1.3540,1.39e-04,575
890,1.3392,1.33e-04,565
900,1.3438,1.27e-04,1410
910,1.3687,1.22e-04,590
920,1.2754,1.17e-04,593
930,1.3605,1.13e-04,588
940,1.3275,1.10e-04,550
950,1.3236,1.07e-04,575
960,1.2510,1.04e-04,624
970,1.2820,1.02e-04,609
980,1.2205,1.01e-04,578
990,1.2563,1.00e-04,622
