iter,train_loss,lr,ms_per_iter
0,4.5578,9.90e-06,351
10,3.4515,1.09e-04,200
20,2.9870,2.08e-04,222
30,2.7093,3.07e-04,209
40,2.5242,4.06e-04,221
50,2.4111,5.05e-04,207
60,2.3393,6.04e-04,218
70,2.2255,7.03e-04,213
80,2.1290,8.02e-04,216
90,2.0322,9.01e-04,219
100,1.9687,1.00e-03,495
110,1.8250,1.00e-03,218
120,1.7479,9.99e-04,213
130,1.7126,9.98e-04,214
140,1.6218,9.96e-04,217
150,1.5576,9.93e-04,213
160,1.5058,9.90e-04,217
170,1.4910,9.87e-04,215
180,1.4355,9.83e-04,214
190,1.3745,9.78e-04,219
200,1.3961,9.73e-04,487
210,1.3522,9.67e-04,218
220,1.3503,9.61e-04,216
230,1.2981,9.54e-04,211
240,1.2904,9.47e-04,216
250,1.2726,9.40e-04,220
260,1.2761,9.32e-04,207
270,1.2558,9.23e-04,217
280,1.2354,9.14e-04,218
290,1.1827,9.05e-04,210
300,1.1761,8.95e-04,495
310,1.1763,8.84e-04,210
320,1.2039,8.74e-04,217
330,1.1689,8.63e-04,219
340,1.1806,8.51e-04,207
350,1.1402,8.39e-04,221
360,1.1564,8.27e-04,219
370,1.1354,8.15e-04,208
380,1.1440,8.02e-04,221
390,1.1193,7.88e-04,215
400,1.1160,7.75e-04,495
410,1.0975,7.61e-04,214
420,1.0971,7.47e-04,213
430,1.0924,7.33e-04,211
440,1.1108,7.19e-04,214
450,1.0788,7.04e-04,218
460,1.0725,6.89e-04,214
470,1.0814,6.74e-04,214
480,1.1033,6.59e-04,219
490,1.0961,6.44e-04,217
500,1.0447,6.28e-04,495
510,1.0643,6.13e-04,207
520,1.0479,5.97e-04,220
530,1.0655,5.81e-04,214
540,1.0525,5.66e-04,215
550,1.0306,5.50e-04,219
560,1.0503,5.34e-04,212
570,1.0241,5.19e-04,219
580,1.0537,5.03e-04,207
590,1.0392,4.87e-04,222
600,1.0329,4.72e-04,488
610,1.0203,4.56e-04,218
620,1.0056,4.41e-04,217
630,1.0005,4.26e-04,212
640,1.0206,4.11e-04,222
650,1.0159,3.96e-04,211
660,1.0269,3.81e-04,219
670,1.0112,3.67e-04,214
680,1.0195,3.53e-04,216
690,1.0255,3.39e-04,218
700,0.9837,3.25e-04,489
710,0.9902,3.12e-04,216
720,1.0011,2.98e-04,214
730,0.9810,2.85e-04,232
740,0.9786,2.73e-04,211
750,0.9803,2.61e-04,222
760,0.9871,2.49e-04,213
770,0.9775,2.37e-04,222
780,0.9952,2.26e-04,213
790,1.0002,2.16e-04,222
800,0.9775,2.05e-04,503
810,0.9688,1.95e-04,221
820,0.9888,1.86e-04,212
830,0.9521,1.77e-04,226
840,0.9441,1.68e-04,233
850,0.9742,1.60e-04,227
860,0.9397,1.53e-04,233
870,0.9674,1.46e-04,219
880,0.9662,1.39e-04,230
890,0.9507,1.33e-04,222
900,0.9486,1.27e-04,528
910,0.9438,1.22e-04,220
920,0.9563,1.17e-04,233
930,0.9576,1.13e-04,218
940,0.9494,1.10e-04,232
950,0.9651,1.07e-04,221
960,0.9524,1.04e-04,229
970,0.9299,1.02e-04,223
980,0.9471,1.01e-04,230
990,0.9212,1.00e-04,222
