iter,train_loss,lr,ms_per_iter
0,4.5417,9.90e-06,330
10,3.4320,1.09e-04,229
20,2.9769,2.08e-04,240
30,2.7525,3.07e-04,240
40,2.5533,4.06e-04,240
50,2.5027,5.05e-04,241
60,2.4998,6.04e-04,241
70,2.4562,7.03e-04,240
80,2.4316,8.02e-04,241
90,2.4473,9.01e-04,241
100,2.4159,1.00e-03,559
110,2.4469,1.00e-03,241
120,2.3946,9.99e-04,242
130,2.3910,9.98e-04,242
140,2.3564,9.96e-04,242
150,2.3248,9.93e-04,242
160,2.3097,9.90e-04,242
170,2.3247,9.87e-04,242
180,2.2425,9.83e-04,242
190,2.1871,9.78e-04,242
200,2.1796,9.73e-04,558
210,2.1194,9.67e-04,241
220,2.0539,9.61e-04,242
230,2.0173,9.54e-04,242
240,1.9599,9.47e-04,241
250,1.9526,9.40e-04,242
260,1.9147,9.32e-04,242
270,1.8116,9.23e-04,242
280,1.7508,9.14e-04,242
290,1.7125,9.05e-04,242
300,1.6425,8.95e-04,558
310,1.5994,8.84e-04,241
320,1.5328,8.74e-04,242
330,1.5136,8.63e-04,242
340,1.4682,8.51e-04,242
350,1.4625,8.39e-04,242
360,1.3580,8.27e-04,242
370,1.3582,8.15e-04,242
380,1.3908,8.02e-04,242
390,1.3078,7.88e-04,242
400,1.2805,7.75e-04,557
410,1.2671,7.61e-04,242
420,1.2717,7.47e-04,242
430,1.2426,7.33e-04,242
440,1.2066,7.19e-04,242
450,1.2176,7.04e-04,242
460,1.1763,6.89e-04,242
470,1.2130,6.74e-04,242
480,1.2151,6.59e-04,242
490,1.1581,6.44e-04,242
500,1.1243,6.28e-04,558
510,1.1687,6.13e-04,242
520,1.1508,5.97e-04,242
530,1.1217,5.81e-04,242
540,1.1085,5.66e-04,242
550,1.0899,5.50e-04,242
560,1.0915,5.34e-04,242
570,1.0820,5.19e-04,242
580,1.0151,5.03e-04,242
590,1.0262,4.87e-04,242
600,1.0193,4.72e-04,558
610,1.0436,4.56e-04,242
620,1.0505,4.41e-04,242
630,1.0625,4.26e-04,242
640,1.0292,4.11e-04,242
650,1.0053,3.96e-04,242
660,1.0388,3.81e-04,242
670,1.0242,3.67e-04,242
680,0.9763,3.53e-04,242
690,1.0156,3.39e-04,242
700,0.9692,3.25e-04,557
710,0.9614,3.12e-04,242
720,0.9599,2.98e-04,242
730,0.9516,2.85e-04,242
740,0.9755,2.73e-04,242
750,0.9851,2.61e-04,242
760,0.9633,2.49e-04,242
770,0.8993,2.37e-04,242
780,0.9256,2.26e-04,243
790,0.8855,2.16e-04,245
800,0.9522,2.05e-04,557
810,0.9514,1.95e-04,243
820,0.9461,1.86e-04,241
830,0.9527,1.77e-04,242
840,0.9224,1.68e-04,242
850,0.9193,1.60e-04,242
860,0.9409,1.53e-04,242
870,0.8772,1.46e-04,242
880,0.9569,1.39e-04,242
890,0.9281,1.33e-04,242
900,0.8898,1.27e-04,558
910,0.8768,1.22e-04,241
920,0.9357,1.17e-04,242
930,0.9051,1.13e-04,242
940,0.8912,1.10e-04,242
950,0.9000,1.07e-04,243
960,0.8995,1.04e-04,242
970,0.8839,1.02e-04,242
980,0.8932,1.01e-04,242
990,0.9086,1.00e-04,242
