step,train_loss,lr,s_per_step,tokens_seen
151,2.5640,1.84e-05,11.3,622592
152,2.4761,1.83e-05,13.6,626688
153,2.5788,1.81e-05,26.7,630784
154,2.4327,1.80e-05,42.7,634880
155,2.7392,1.79e-05,28.2,638976
156,2.4897,1.77e-05,20.1,643072
157,2.2691,1.76e-05,18.9,647168
158,2.4738,1.75e-05,14.0,651264
159,2.5263,1.73e-05,24.3,655360
160,2.2289,1.72e-05,29.4,659456
161,2.1454,1.70e-05,41.4,663552
162,2.2862,1.69e-05,29.2,667648
163,2.5789,1.68e-05,21.8,671744
164,2.5619,1.66e-05,26.3,675840
165,2.5345,1.65e-05,26.8,679936
166,2.5665,1.64e-05,25.5,684032
167,2.4837,1.62e-05,15.6,688128
168,2.5707,1.61e-05,17.2,692224
169,2.5017,1.60e-05,22.6,696320
170,2.2879,1.58e-05,12.9,700416
171,2.4356,1.57e-05,15.2,704512
172,2.1641,1.55e-05,14.1,708608
173,2.5865,1.54e-05,14.7,712704
174,2.4628,1.53e-05,13.2,716800
175,2.5565,1.51e-05,14.5,720896
176,2.5004,1.50e-05,13.5,724992
177,2.3161,1.49e-05,29.9,729088
178,2.6392,1.47e-05,22.3,733184
179,2.4925,1.46e-05,13.2,737280
180,2.3661,1.45e-05,13.2,741376
181,2.1518,1.43e-05,12.4,745472
182,2.4546,1.42e-05,21.1,749568
183,2.3292,1.41e-05,27.0,753664
184,2.2937,1.39e-05,16.4,757760
185,2.5880,1.38e-05,15.0,761856
186,2.5185,1.36e-05,15.2,765952
187,2.6410,1.35e-05,20.4,770048
188,2.3774,1.34e-05,18.9,774144
189,2.4766,1.32e-05,16.2,778240
190,2.1839,1.31e-05,14.3,782336
191,2.4678,1.30e-05,14.1,786432
192,2.2411,1.29e-05,12.3,790528
193,2.4767,1.27e-05,13.6,794624
194,2.4666,1.26e-05,14.8,798720
195,2.4798,1.25e-05,14.7,802816
196,2.5560,1.23e-05,13.2,806912
197,2.5899,1.22e-05,15.1,811008
198,2.4940,1.21e-05,22.3,815104
199,2.5219,1.19e-05,25.7,819200
200,2.5114,1.18e-05,26.9,823296
201,2.4066,1.17e-05,21.9,827392
202,2.1787,1.16e-05,12.4,831488
203,2.5784,1.14e-05,20.1,835584
204,2.3728,1.13e-05,13.3,839680
205,2.3508,1.12e-05,12.5,843776
206,2.3999,1.11e-05,27.6,847872
207,2.7055,1.09e-05,33.5,851968
208,2.1207,1.08e-05,39.9,856064
209,2.5429,1.07e-05,43.4,860160
210,2.2709,1.06e-05,44.7,864256
211,2.4511,1.04e-05,22.8,868352
212,2.3405,1.03e-05,14.2,872448
213,2.4348,1.02e-05,13.6,876544
214,2.3862,1.01e-05,12.9,880640
215,2.4517,9.95e-06,15.2,884736
216,2.4844,9.83e-06,21.4,888832
217,2.4130,9.71e-06,13.9,892928
218,2.3196,9.59e-06,12.3,897024
219,2.4471,9.48e-06,15.0,901120
220,2.5740,9.36e-06,11.8,905216
221,2.3499,9.24e-06,12.0,909312
222,2.5143,9.13e-06,11.5,913408
223,2.4426,9.01e-06,12.1,917504
224,2.4489,8.90e-06,14.7,921600
225,2.3084,8.79e-06,12.4,925696
226,2.2187,8.68e-06,13.1,929792
