iter,train_loss,lr,ms_per_iter
0,4.5179,9.90e-06,300
10,3.4565,1.09e-04,197
20,2.9978,2.08e-04,208
30,2.7270,3.07e-04,208
40,2.5811,4.06e-04,208
50,2.4680,5.05e-04,208
60,2.4602,6.04e-04,209
70,2.4196,7.03e-04,209
80,2.4141,8.02e-04,209
90,2.3868,9.01e-04,209
100,2.3620,1.00e-03,486
110,2.3687,1.00e-03,211
120,2.3399,9.99e-04,211
130,2.2217,9.98e-04,211
140,2.1705,9.96e-04,211
150,2.0583,9.93e-04,211
160,2.0240,9.90e-04,211
170,1.9461,9.87e-04,211
180,1.8747,9.83e-04,216
190,1.7941,9.78e-04,214
200,1.7176,9.73e-04,491
210,1.7126,9.67e-04,219
220,1.6345,9.61e-04,213
230,1.5343,9.54e-04,213
240,1.5155,9.47e-04,215
250,1.4829,9.40e-04,220
260,1.4116,9.32e-04,222
270,1.4313,9.23e-04,220
280,1.3786,9.14e-04,217
290,1.3343,9.05e-04,217
300,1.3741,8.95e-04,490
310,1.3074,8.84e-04,213
320,1.3030,8.74e-04,213
330,1.2595,8.63e-04,213
340,1.2111,8.51e-04,213
350,1.2769,8.39e-04,214
360,1.2346,8.27e-04,214
370,1.2077,8.15e-04,213
380,1.1426,8.02e-04,215
390,1.1469,7.88e-04,213
400,1.1611,7.75e-04,490
410,1.1299,7.61e-04,214
420,1.1743,7.47e-04,215
430,1.1333,7.33e-04,213
440,1.1301,7.19e-04,214
450,1.1121,7.04e-04,213
460,1.0840,6.89e-04,214
470,1.0438,6.74e-04,213
480,1.0635,6.59e-04,213
490,1.0864,6.44e-04,213
500,1.0005,6.28e-04,512
510,1.0301,6.13e-04,220
520,1.0504,5.97e-04,221
530,1.0594,5.81e-04,221
540,1.0057,5.66e-04,221
550,1.0310,5.50e-04,220
560,0.9800,5.34e-04,221
570,0.9944,5.19e-04,221
580,0.9966,5.03e-04,221
590,0.9730,4.87e-04,221
600,1.0001,4.72e-04,507
610,0.9751,4.56e-04,222
620,0.9616,4.41e-04,222
630,0.9446,4.26e-04,223
640,0.9409,4.11e-04,223
650,0.9698,3.96e-04,222
660,0.9354,3.81e-04,222
670,0.9502,3.67e-04,222
680,0.8981,3.53e-04,222
690,0.9451,3.39e-04,223
700,0.9370,3.25e-04,519
710,0.9094,3.12e-04,226
720,0.9412,2.98e-04,225
730,0.9362,2.85e-04,222
740,0.9242,2.73e-04,224
750,0.8986,2.61e-04,227
760,0.9210,2.49e-04,228
770,0.8891,2.37e-04,225
780,0.8961,2.26e-04,226
790,0.8971,2.16e-04,223
800,0.8800,2.05e-04,515
810,0.9153,1.95e-04,226
820,0.9036,1.86e-04,228
830,0.8705,1.77e-04,228
840,0.8916,1.68e-04,216
850,0.8945,1.60e-04,214
860,0.8703,1.53e-04,214
870,0.8927,1.46e-04,214
880,0.9091,1.39e-04,214
890,0.8728,1.33e-04,214
900,0.8548,1.27e-04,491
910,0.8700,1.22e-04,215
920,0.8791,1.17e-04,214
930,0.8649,1.13e-04,214
940,0.8717,1.10e-04,214
950,0.8578,1.07e-04,214
960,0.8495,1.04e-04,214
970,0.8553,1.02e-04,213
980,0.8495,1.01e-04,215
990,0.8348,1.00e-04,214
