iter,train_loss,lr,ms_per_iter
0,4.5242,9.90e-06,375
10,3.4406,1.09e-04,178
20,2.9721,2.08e-04,193
30,2.6757,3.07e-04,196
40,2.4795,4.06e-04,200
50,2.3389,5.05e-04,196
60,2.1905,6.04e-04,197
70,2.0849,7.03e-04,196
80,1.9685,8.02e-04,196
90,1.8825,9.01e-04,200
100,1.8341,1.00e-03,488
110,1.7447,1.00e-03,212
120,1.6546,9.99e-04,214
130,1.6384,9.98e-04,218
140,1.5576,9.96e-04,217
150,1.5282,9.93e-04,215
160,1.5197,9.90e-04,201
170,1.4711,9.87e-04,200
180,1.4315,9.83e-04,200
190,1.4151,9.78e-04,198
200,1.4189,9.73e-04,485
210,1.3997,9.67e-04,195
220,1.3573,9.61e-04,198
230,1.3579,9.54e-04,195
240,1.3368,9.47e-04,196
250,1.3259,9.40e-04,202
260,1.3377,9.32e-04,200
270,1.3032,9.23e-04,210
280,1.3232,9.14e-04,208
290,1.3239,9.05e-04,206
300,1.2625,8.95e-04,496
310,1.2783,8.84e-04,194
320,1.2444,8.74e-04,197
330,1.2693,8.63e-04,196
340,1.2494,8.51e-04,199
350,1.2416,8.39e-04,201
360,1.2697,8.27e-04,205
370,1.2525,8.15e-04,200
380,1.2497,8.02e-04,200
390,1.1820,7.88e-04,209
400,1.2336,7.75e-04,485
410,1.2062,7.61e-04,202
420,1.2047,7.47e-04,229
430,1.2056,7.33e-04,214
440,1.2174,7.19e-04,202
450,1.2056,7.04e-04,202
460,1.1921,6.89e-04,209
470,1.1729,6.74e-04,205
480,1.1854,6.59e-04,202
490,1.1729,6.44e-04,206
500,1.1770,6.28e-04,470
510,1.1720,6.13e-04,210
520,1.1663,5.97e-04,201
530,1.1522,5.81e-04,196
540,1.1675,5.66e-04,199
550,1.1717,5.50e-04,198
560,1.1410,5.34e-04,198
570,1.1440,5.19e-04,218
580,1.1437,5.03e-04,201
590,1.1599,4.87e-04,202
600,1.1512,4.72e-04,484
610,1.1510,4.56e-04,198
620,1.1313,4.41e-04,201
630,1.1428,4.26e-04,195
640,1.1385,4.11e-04,204
650,1.1481,3.96e-04,212
660,1.1273,3.81e-04,197
670,1.1422,3.67e-04,198
680,1.1083,3.53e-04,199
690,1.1162,3.39e-04,197
700,1.1420,3.25e-04,484
710,1.1232,3.12e-04,199
720,1.1197,2.98e-04,193
730,1.0932,2.85e-04,191
740,1.1128,2.73e-04,191
750,1.0778,2.61e-04,192
760,1.1283,2.49e-04,194
770,1.0992,2.37e-04,196
780,1.0999,2.26e-04,200
790,1.0915,2.16e-04,206
800,1.0819,2.05e-04,498
810,1.0945,1.95e-04,203
820,1.0719,1.86e-04,204
830,1.0939,1.77e-04,203
840,1.0835,1.68e-04,204
850,1.0965,1.60e-04,203
860,1.0911,1.53e-04,202
870,1.0845,1.46e-04,198
880,1.0834,1.39e-04,197
890,1.0671,1.33e-04,198
900,1.0698,1.27e-04,464
910,1.0769,1.22e-04,202
920,1.0598,1.17e-04,207
930,1.0591,1.13e-04,202
940,1.0705,1.10e-04,203
950,1.0725,1.07e-04,203
960,1.0653,1.04e-04,203
970,1.0865,1.02e-04,204
980,1.0834,1.01e-04,208
990,1.0617,1.00e-04,206
