iter,train_loss,lr,ms_per_iter
0,4.4609,9.90e-06,409
10,3.4027,1.09e-04,268
20,2.9915,2.08e-04,278
30,2.7053,3.07e-04,273
40,2.5838,4.06e-04,265
50,2.5058,5.05e-04,281
60,2.4598,6.04e-04,278
70,2.4411,7.03e-04,264
80,2.4310,8.02e-04,279
90,2.4174,9.01e-04,281
100,2.4168,1.00e-03,649
110,2.4277,1.00e-03,270
120,2.3977,9.99e-04,271
130,2.4024,9.98e-04,281
140,2.3974,9.96e-04,267
150,2.3492,9.93e-04,273
160,2.3168,9.90e-04,273
170,2.3333,9.87e-04,273
180,2.2797,9.83e-04,270
190,2.2244,9.78e-04,277
200,2.1564,9.73e-04,649
210,2.1481,9.67e-04,276
220,2.0638,9.61e-04,271
230,2.0227,9.54e-04,268
240,1.9722,9.47e-04,273
250,1.9301,9.40e-04,278
260,1.9625,9.32e-04,270
270,1.8237,9.23e-04,267
280,1.7760,9.14e-04,272
290,1.7849,9.05e-04,272
300,1.6813,8.95e-04,630
310,1.7158,8.84e-04,278
320,1.6455,8.74e-04,273
330,1.5543,8.63e-04,273
340,1.5098,8.51e-04,271
350,1.4588,8.39e-04,267
360,1.4303,8.27e-04,277
370,1.3845,8.15e-04,278
380,1.3782,8.02e-04,276
390,1.3882,7.88e-04,267
400,1.2877,7.75e-04,642
410,1.2822,7.61e-04,275
420,1.2426,7.47e-04,275
430,1.2670,7.33e-04,271
440,1.2134,7.19e-04,271
450,1.2461,7.04e-04,274
460,1.2183,6.89e-04,275
470,1.1994,6.74e-04,267
480,1.1894,6.59e-04,267
490,1.2069,6.44e-04,273
500,1.1584,6.28e-04,650
510,1.1459,6.13e-04,267
520,1.1330,5.97e-04,265
530,1.1294,5.81e-04,274
540,1.0913,5.66e-04,275
550,1.1020,5.50e-04,270
560,1.0421,5.34e-04,269
570,1.0723,5.19e-04,273
580,1.0500,5.03e-04,273
590,1.0895,4.87e-04,270
600,0.9999,4.72e-04,625
610,1.0151,4.56e-04,270
620,1.0159,4.41e-04,280
630,0.9706,4.26e-04,275
640,1.0167,4.11e-04,265
650,0.9866,3.96e-04,272
660,0.9689,3.81e-04,273
670,0.9917,3.67e-04,276
680,0.9983,3.53e-04,276
690,1.0036,3.39e-04,267
700,0.9738,3.25e-04,647
710,0.9843,3.12e-04,272
720,0.9888,2.98e-04,269
730,0.9739,2.85e-04,267
740,0.9707,2.73e-04,269
750,0.9639,2.61e-04,276
760,0.9603,2.49e-04,273
770,0.9241,2.37e-04,265
780,0.9238,2.26e-04,266
790,0.9383,2.16e-04,274
800,0.8975,2.05e-04,642
810,0.9256,1.95e-04,277
820,0.9451,1.86e-04,274
830,0.9267,1.77e-04,272
840,0.9334,1.68e-04,269
850,0.8993,1.60e-04,274
860,0.9321,1.53e-04,273
870,0.9296,1.46e-04,273
880,0.9192,1.39e-04,281
890,0.8544,1.33e-04,265
900,0.9038,1.27e-04,651
910,0.8909,1.22e-04,272
920,0.8792,1.17e-04,270
930,0.9000,1.13e-04,270
940,0.9292,1.10e-04,272
950,0.8773,1.07e-04,273
960,0.8820,1.04e-04,270
970,0.8983,1.02e-04,265
980,0.8965,1.01e-04,273
990,0.8729,1.00e-04,278
