iter,train_loss,lr,ms_per_iter
0,4.4791,9.90e-06,183
10,4.0368,1.09e-04,67
20,3.7181,2.08e-04,72
30,3.4001,3.07e-04,70
40,3.0593,4.06e-04,68
50,2.8307,5.05e-04,69
60,2.6870,6.04e-04,68
70,2.5987,7.03e-04,70
80,2.5585,8.02e-04,69
90,2.5036,9.01e-04,70
100,2.4882,1.00e-03,170
110,2.4665,1.00e-03,64
120,2.4423,9.99e-04,69
130,2.4392,9.98e-04,67
140,2.4515,9.96e-04,65
150,2.4405,9.93e-04,65
160,2.4195,9.90e-04,68
170,2.4277,9.87e-04,68
180,2.4238,9.83e-04,65
190,2.4088,9.78e-04,68
200,2.4137,9.73e-04,161
210,2.4006,9.67e-04,66
220,2.3896,9.61e-04,67
230,2.3594,9.54e-04,64
240,2.3603,9.47e-04,70
250,2.3526,9.40e-04,69
260,2.3556,9.32e-04,69
270,2.3201,9.23e-04,68
280,2.2934,9.14e-04,61
290,2.2928,9.05e-04,62
300,2.3283,8.95e-04,150
310,2.2764,8.84e-04,59
320,2.2213,8.74e-04,63
330,2.2209,8.63e-04,59
340,2.2134,8.51e-04,62
350,2.2198,8.39e-04,59
360,2.1464,8.27e-04,61
370,2.1328,8.15e-04,60
380,2.1414,8.02e-04,60
390,2.0788,7.88e-04,58
400,2.0492,7.75e-04,148
410,2.0398,7.61e-04,61
420,2.0117,7.47e-04,63
430,2.0133,7.33e-04,61
440,2.0846,7.19e-04,60
450,2.0105,7.04e-04,59
460,1.9670,6.89e-04,59
470,1.9398,6.74e-04,59
480,1.9240,6.59e-04,58
490,1.9508,6.44e-04,61
500,1.9035,6.28e-04,144
510,1.8542,6.13e-04,59
520,1.8326,5.97e-04,58
530,1.8228,5.81e-04,60
540,1.8350,5.66e-04,60
550,1.7791,5.50e-04,60
560,1.7162,5.34e-04,61
570,1.7556,5.19e-04,62
580,1.7346,5.03e-04,61
590,1.7305,4.87e-04,61
600,1.7247,4.72e-04,145
610,1.7130,4.56e-04,59
620,1.6809,4.41e-04,58
630,1.6260,4.26e-04,60
640,1.6635,4.11e-04,61
650,1.6271,3.96e-04,61
660,1.6352,3.81e-04,60
670,1.6071,3.67e-04,60
680,1.5993,3.53e-04,59
690,1.5924,3.39e-04,60
700,1.5978,3.25e-04,142
710,1.5654,3.12e-04,59
720,1.5687,2.98e-04,59
730,1.5678,2.85e-04,58
740,1.5361,2.73e-04,59
750,1.5063,2.61e-04,59
760,1.5190,2.49e-04,58
770,1.4979,2.37e-04,59
780,1.5257,2.26e-04,62
790,1.4726,2.16e-04,62
800,1.5011,2.05e-04,152
810,1.4910,1.95e-04,64
820,1.5164,1.86e-04,64
830,1.4774,1.77e-04,67
840,1.4866,1.68e-04,66
850,1.4756,1.60e-04,62
860,1.4859,1.53e-04,66
870,1.4245,1.46e-04,64
880,1.4314,1.39e-04,64
890,1.4734,1.33e-04,64
900,1.4221,1.27e-04,150
910,1.4482,1.22e-04,59
920,1.4362,1.17e-04,61
930,1.4408,1.13e-04,61
940,1.4339,1.10e-04,63
950,1.5194,1.07e-04,66
960,1.4151,1.04e-04,62
970,1.4633,1.02e-04,65
980,1.4083,1.01e-04,64
990,1.3912,1.00e-04,62
