iter,train_loss,lr,ms_per_iter
0,4.5242,9.90e-06,382
10,3.4406,1.09e-04,194
20,2.9721,2.08e-04,197
30,2.6757,3.07e-04,211
40,2.4795,4.06e-04,200
50,2.3389,5.05e-04,209
60,2.1905,6.04e-04,205
70,2.0850,7.03e-04,202
80,1.9686,8.02e-04,284
90,1.8817,9.01e-04,209
100,1.8374,1.00e-03,511
110,1.7476,1.00e-03,225
120,1.6703,9.99e-04,214
130,1.6365,9.98e-04,215
140,1.5563,9.96e-04,256
150,1.5374,9.93e-04,217
160,1.5165,9.90e-04,222
170,1.4702,9.87e-04,226
180,1.4262,9.83e-04,213
190,1.4176,9.78e-04,214
200,1.4177,9.73e-04,535
210,1.3965,9.67e-04,218
220,1.3621,9.61e-04,228
230,1.3591,9.54e-04,223
240,1.3412,9.47e-04,215
250,1.3265,9.40e-04,213
260,1.3375,9.32e-04,222
270,1.3031,9.23e-04,227
280,1.3244,9.14e-04,219
290,1.3193,9.05e-04,218
300,1.2611,8.95e-04,543
310,1.2760,8.84e-04,220
320,1.2463,8.74e-04,230
330,1.2679,8.63e-04,213
340,1.2493,8.51e-04,223
350,1.2407,8.39e-04,222
360,1.2735,8.27e-04,217
370,1.2520,8.15e-04,225
380,1.2491,8.02e-04,215
390,1.1830,7.88e-04,213
400,1.2351,7.75e-04,517
410,1.2048,7.61e-04,266
420,1.2017,7.47e-04,288
430,1.2024,7.33e-04,270
440,1.2157,7.19e-04,293
450,1.2071,7.04e-04,243
460,1.1915,6.89e-04,302
470,1.1753,6.74e-04,218
480,1.1829,6.59e-04,217
490,1.1755,6.44e-04,212
500,1.1756,6.28e-04,525
510,1.1691,6.13e-04,209
520,1.1653,5.97e-04,225
530,1.1556,5.81e-04,231
540,1.1711,5.66e-04,205
550,1.1711,5.50e-04,217
560,1.1419,5.34e-04,209
570,1.1497,5.19e-04,212
580,1.1477,5.03e-04,210
590,1.1576,4.87e-04,207
600,1.1501,4.72e-04,499
610,1.1524,4.56e-04,206
620,1.1332,4.41e-04,221
630,1.1432,4.26e-04,206
640,1.1390,4.11e-04,233
650,1.1471,3.96e-04,214
660,1.1284,3.81e-04,219
670,1.1428,3.67e-04,208
680,1.1108,3.53e-04,219
690,1.1164,3.39e-04,207
700,1.1378,3.25e-04,508
710,1.1236,3.12e-04,208
720,1.1160,2.98e-04,215
730,1.0941,2.85e-04,207
740,1.1139,2.73e-04,218
750,1.0798,2.61e-04,207
760,1.1291,2.49e-04,217
770,1.1006,2.37e-04,207
780,1.1007,2.26e-04,217
790,1.0882,2.16e-04,209
800,1.0839,2.05e-04,512
810,1.0939,1.95e-04,212
820,1.0734,1.86e-04,209
830,1.0907,1.77e-04,215
840,1.0861,1.68e-04,205
850,1.1002,1.60e-04,207
860,1.0901,1.53e-04,205
870,1.0846,1.46e-04,204
880,1.0846,1.39e-04,211
890,1.0707,1.33e-04,206
900,1.0709,1.27e-04,497
910,1.0789,1.22e-04,211
920,1.0587,1.17e-04,207
930,1.0610,1.13e-04,223
940,1.0718,1.10e-04,211
950,1.0718,1.07e-04,209
960,1.0654,1.04e-04,213
970,1.0875,1.02e-04,208
980,1.0843,1.01e-04,210
990,1.0627,1.00e-04,223
